Title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,total_sales_computed,release_year
Sprung - A Game Where Everyone Scores,DS,Adventure,Ubisoft,Guillemot Inc,7.3,0.06,0.06,0.0,0.0,0.0,2004-12-08,,0.06,2004.0
Meitantei Conan: Aoki Houseki no Rinbukyoku,DS,Adventure,Namco Bandai,Namco Bandai Games,7.3,0.06,0.0,0.06,0.0,0.0,2011-04-21,,0.06,2011.0
Insecticide,DS,Adventure,Gamecock,"Crackpot Entertainment / Creat Studios, Inc.",7.3,0.06,0.06,0.0,0.0,0.01,2008-03-11,,0.06999999999999999,2008.0
Aven Colony,PS4,Strategy,Sold Out,Mothership Entertainment,7.3,0.06,0.04,0.0,0.01,0.01,2017-08-01,2018-06-25,0.060000000000000005,2017.0
Nobunaga?s Ambition: Sphere of Influence ? Ascension,PSV,Strategy,Tecmo Koei,Koei Tecmo Games,7.3,0.06,0.0,0.06,0.0,0.0,2016-03-24,2018-07-30,0.06,2016.0
A-Train 6,PS2,Strategy,Midas Interactive Entertainment,ArtDink,7.3,0.06,0.0,0.06,0.0,0.0,2004-03-19,,0.06,2004.0
Grand Ages: Medieval,PC,Strategy,Kalypso Media,Gaming Minds Studios,7.3,0.06,0.0,0.0,0.05,0.0,2015-09-29,2018-09-22,0.05,2015.0
Amazing Island,GC,Strategy,Sega,Hitmaker,7.1,0.06,0.04,0.0,0.01,0.0,2004-08-25,,0.05,2004.0
Impact Racing,PS,Racing,Acclaim Entertainment,Funcom,7.3,0.06,0.03,0.0,0.02,0.0,1996-09-30,,0.05,1996.0
Ride,PS3,Racing,Milestone S.r.l.,Milestone S.r.l.,7.3,0.06,0.0,0.01,0.03,0.01,2015-06-23,2018-04-24,0.05,2015.0
WRC 5: FIA World Rally Championship,PS4,Racing,Bigben Interactive,Kylotonn Entertainment,7.3,0.06,0.0,0.0,0.05,0.01,2015-11-24,2018-04-24,0.060000000000000005,2015.0
V-Rally 3,PS2,Racing,Atari,Eden Studios,7.3,0.06,0.03,0.0,0.02,0.01,2002-10-22,,0.060000000000000005,2002.0
PenPen TriIceLon,DC,Racing,Infogrames,Team Land Ho!,5.8,0.06,0.0,0.06,0.0,0.0,1999-09-09,,0.06,1999.0
SBK 2011: FIM Superbike World Championship,X360,Racing,Black Bean Games,Milestone S.r.l,7.3,0.06,0.0,0.0,0.05,0.01,2011-05-11,,0.060000000000000005,2011.0
Kanon,DC,Adventure,NEC Interchannel,Key,7.3,0.06,0.0,0.06,0.0,0.0,2000-09-14,,0.06,2000.0
Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,DS,Adventure,Marvelous Interactive,Marvelous Interactive,7.3,0.06,0.0,0.06,0.0,0.0,2008-02-28,,0.06,2008.0
Gintama Ranbu,PS4,Action,Bandai Namco Games,Bandai Namco Games,7.3,0.06,0.0,0.06,0.0,0.0,2018-01-18,2018-01-24,0.06,2018.0
Samurai Jack: The Shadow of Aku,PS2,Action,Sega,Adrenium,7.3,0.06,0.03,0.0,0.02,0.01,2004-03-24,,0.060000000000000005,2004.0
Constantine,XB,Action,THQ,Bits Studios,7.3,0.06,0.04,0.0,0.01,0.0,2005-02-14,,0.05,2005.0
Cartoon Network: Battle Crashers,PS4,Action,GameMill Entertainment,Magic Pockets,1.5,0.06,0.05,0.0,0.0,0.01,2016-11-08,2020-09-25,0.060000000000000005,2016.0
Tom Clancy's Splinter Cell: Double Agent,GC,Action,Ubisoft,Ubisoft Montreal,5.6,0.06,0.04,0.0,0.01,0.0,2006-10-26,,0.05,2006.0
Monster High: New Ghoul in School,3DS,Action,Little Orbit,Torus Games,7.3,0.06,0.0,0.0,0.05,0.0,2015-10-27,2019-01-19,0.05,2015.0
Worms Blast,GC,Puzzle,Ubisoft,Team17 Software,7.3,0.06,0.05,0.0,0.01,0.0,2002-10-24,,0.060000000000000005,2002.0
Final Fantasy XIV: Stormblood,PC,MMO,Square Enix,Square Enix,7.3,0.06,0.04,0.0,0.02,0.01,2017-06-20,2018-06-30,0.06999999999999999,2017.0
Prinny: Can I Really Be The Hero? (US sales),PSP,Action,NIS America,Nippon Ichi Software,7.3,0.06,0.06,0.0,0.0,0.0,2009-02-17,2019-01-03,0.06,2009.0
Samurai Warriors 4-II,PSV,Action,Tecmo Koei,Omega Force,7.3,0.06,0.0,0.06,0.0,0.0,2015-09-29,2018-05-02,0.06,2015.0
Playmobil Knights,DS,Action,DreamCatcher Interactive,Morgen Studios,7.3,0.06,0.04,0.0,0.01,0.0,2010-01-25,,0.05,2010.0
Xiaolin Showdown,PSP,Action,Konami,BottleRocket Entertainment,7.3,0.06,0.05,0.0,0.0,0.0,2006-11-14,,0.05,2006.0
Hi Hi Puffy AmiYumi: Kaznapped,GBA,Action,D3 Publisher,Altron,7.3,0.06,0.04,0.0,0.02,0.0,2005-11-20,,0.06,2005.0
