Title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
Resident Evil 2,GC,Action,Capcom,Capcom,5.9,0.06,0.04,,0.01,0,16-01-2003,
The King of Fighters '96,NG,Fighting,SNK,SNK Corporation,,0.06,,0.06,,0,27-09-1996,
WWF Wrestlemania: The Arcade Game,PS,Fighting,Acclaim Entertainment,Sculptured Software,,0.06,0.03,,0.02,0,18-10-1995,
Guilty Gear X: Advance Edition,GBA,Fighting,Sammy Corporation,Arc System Works,7.3,0.06,0.04,,0.02,0,29-08-2002,
The Book of Unwritten Tales: The Critter Chronicles,PC,Adventure,Crimson Cow,KING Art Games,,0.06,,,0.05,0.01,06-10-2011,
The Next BIG Thing,PC,Adventure,Focus Home Interactive,Pendulo Studio,6.8,0.06,,,0.05,0.01,21-04-2011,
New Prince of Tennis: Go to the Top,3DS,Adventure,FuRyu Corporation,FuRyu,,0.06,,0.06,,,05-03-2015,06-08-2018
Sherlock Holmes: The Devil's Daughter,XOne,Adventure,Bigben Interactive,Bigben Interactive,,0.06,0.05,,,0.01,25-10-2016,27-06-2018
Carmen Sandiego: The Secret of the Stolen Drums,PS2,Adventure,BAM! Entertainment,Artificial Mind and Movement,,0.06,0.03,,0.02,0.01,08-09-2004,
Kamen Rider: Dragon Knight,Wii,Fighting,D3 Publisher,Eighting,,0.06,0.06,,,0,17-11-2009,
Zatch Bell! Mamodo Battles,GC,Fighting,Bandai,Eighting,7,0.06,0.05,,0.01,0,19-10-2005,
Bleach: Versus Crusade,Wii,Fighting,Sega,"Treasure Co., Ltd.",,0.06,,0.06,,,18-12-2008,27-11-2018
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 14: CR Shinseiki Evangelion: Saigo no Mono,PS2,Misc,D3 Publisher,Bisty,,0.06,,0.06,,,30-07-2009,
Nicola Kanshuu: Model * Oshare Audition,DS,Misc,Alchemist,Alchemist,,0.06,,0.06,,,01-04-2010,
Atari Flashback Classics: Volume 3,PS4,Misc,Funbox Media,Atari,,0.06,0.05,,,0.01,28-09-2018,27-10-2018
Friends: The One with All the Trivia,PS2,Misc,Warner Bros. Interactive,Artech Studios,,0.06,0.03,,0.02,0.01,15-11-2005,
PopStar Guitar,Wii,Misc,XS Games,Broadsword Interactive,,0.06,0.03,,0.03,0,28-10-2008,
Chuck E. Cheese's Playhouse,DS,Misc,UFO Interactive,UFO Interactive,,0.06,0.05,,,0,28-09-2010,
My Amusement Park,DS,Misc,Scholastic Inc.,Scholastic Inc.,,0.06,0.05,,,0,26-10-2010,
Casino Chaos With Las Vegas Players Collection,PC,Misc,THQ,ValuSoft,,0.06,0.05,,,0.01,13-09-2011,
Extinction,PS4,Action,Maximum Games,Iron Galaxy,,0.06,0.05,,,0.01,10-04-2018,01-02-2018
Evangelion: Jo,PSP,Action,Namco Bandai,Bec,,0.06,,0.06,,,04-06-2009,
Top Gun: Hard Lock,X360,Action,505 Games,Headstrong Games,,0.06,0.03,,0.02,0,06-03-2012,03-01-2019
Winx Club: Quest for the Codex,DS,Action,Konami,Powerhead Games,,0.06,0.03,,0.02,0,13-11-2006,
Yomawari: Midnight Shadows,PS4,Action,NIS America,Nippon Ichi Software,,0.06,0.02,0.04,,0,24-10-2017,30-06-2018
Resident Evil Director's Cut,PSN,Action,Sony Computer Entertainment,Capcom,,0.06,,0.06,,,28-05-2009,
Raw Danger! (JP sales),PS2,Action,Agetec,Irem Software Engineering,,0.06,,0.06,,,19-06-2007,
Kamen Rider: Battride War Genesis,PS3,Action,Namco Bandai Games,Unknown,,0.06,,0.06,,,25-02-2016,
Arkanoid DS,DS,Puzzle,Square Enix,Taito Corporation,,0.06,0.06,,0,0,17-06-2008,
Santa Claus Is Comin' to Town!,Wii,Puzzle,Crave Entertainment,Crave Entertainment,,0.06,0.06,,,0,08-11-2011,
Puyo Puyo Tetris,PSV,Puzzle,Sega,Sonic Team,,0.06,,0.06,,,06-02-2014,04-07-2018
Bust-A-Move '99,N64,Puzzle,Acclaim Entertainment,Distinctive Developments Ltd,,0.06,0.05,,0.01,0,30-04-1999,
Scurge: Hive,DS,Action,SouthPeak Interactive,Unknown,,0.06,0.05,,0,0,01-11-2006,
All Kamen Rider: Rider Revolution,3DS,Action,Bandai Namco Games,Bandai Namco Games,,0.06,,0.06,,,01-12-2016,06-08-2018
Katekyoo Hitman Reborn! DS Flame Rumble XX - Kessen! Shin 6 Chouka,DS,Action,Takara Tomy,Takara Tomy,,0.06,,0.06,,,22-07-2010,
Animorphs: Shattered Reality,PS,Action,Infogrames,Single Trac,3.5,0.06,0.03,,0.02,0,06-09-2000,
Steins;Gate,PS3,Visual Novel,5pb,5pb. Inc.,,0.06,0.01,0.02,0.02,0.01,18-09-2015,04-07-2018
Steins;Gate,X360,Visual Novel,5pb,Nitro+,,0.06,,0.06,,,15-10-2009,04-07-2018
Steins;Gate: Senkei Kousoku no Phonogram,PS3,Visual Novel,5pb,5pb. Games,,0.06,,0.06,,,25-04-2013,03-01-2019
Steins;Gate: Darling of Loving Vows,PSP,Visual Novel,5pb,5pb. Inc.,,0.06,,0.06,,,26-04-2012,03-01-2019
Fate/stay night [Réalta Nua],PSV,Visual Novel,Kadokawa Shoten,Type-Moon,,0.06,,0.06,,,29-11-2012,03-01-2019
Persona 5: Dancing in Starlight,PS4,Music,Atlus,Atlus,,0.06,0.03,0.03,,0.01,04-12-2018,13-08-2018
Uta no Prince-Sama: Music 3,PSV,Music,Broccoli,Nippon Ichi Software,,0.06,,0.06,,,28-01-2016,22-09-2018
DropCast,DS,Puzzle,THQ,Mikoishi,,0.06,0.06,,,0,22-09-2008,
Killing Zone,PS,Fighting,Acclaim Entertainment,Naxat Soft,,0.06,0.03,,0.02,0,01-07-1996,
Dissidia: Final Fantasy Universal Tuning,PSP,Fighting,Square Enix,Square Enix,,0.06,,0.06,,,01-11-2009,
Rurouni Kenshin: Meiji Kenkaku Romantan Saisen,PSP,Fighting,Namco Bandai,Namco Bandai Games,,0.06,,0.06,,,10-03-2011,
Rurouni Kenshin: Meiji Kenyaku Romantan - Kansen,PSP,Fighting,Namco Bandai Games,Bandai Namco Games,,0.06,,0.06,,,30-08-2012,03-01-2019
Naruto: Ultimate Ninja Heroes (JP sales),PSP,Fighting,Namco Bandai,CyberConnect2,,0.06,,0.06,,,28-08-2007,
Legend of the Dragon,Wii,Fighting,Game Factory,Neko Entertainment,,0.06,0.06,,0,0,01-05-2007,
Rock Blast,DS,Puzzle,UFO Interactive,UFO Interactive,,0.06,0.06,,,0,05-08-2008,
Puzzler Collection,Wii,Puzzle,Zoo Digital Publishing,Route 1 Games,,0.06,0.05,,0,0,29-07-2008,
Naruto: Uzumaki Chronicles 2 (JP sales),PS2,Action,Namco Bandai,Cavia Inc.,,0.05,,0.05,,,04-09-2007,
Secret Service,X360,Action,Activision,Tigon,,0.05,0.04,,0,0,04-11-2008,
Ultimate Ghosts 'n Goblins (JP sales),PSP,Platform,Capcom,Capcom,,0.05,,0.05,,,29-08-2006,
Wonder Boy: The Dragon's Trap (Remake),NS,Platform,DotEmu,Lizardcube,7.4,0.05,0.04,,,0.01,18-04-2017,10-08-2018
Gem Smashers,Wii,Platform,Crave Entertainment,Frame Studios Interactive,,0.05,0.04,,,0,08-11-2011,
Mighty No. 9,XOne,Platform,Eidos Interactive Ltd,Comcept,,0.05,0.04,,,0.01,01-07-2015,04-07-2018
Frogger: Ancient Shadow,GC,Platform,Konami,Hudson Soft,,0.05,0.04,,0.01,0,27-09-2005,
Owlboy,PS4,Platform,Soedesco,D-Pad Studios,,0.05,0.04,,,0.01,29-05-2018,06-01-2018
The Berenstain Bears and the Spooky Old Tree,GBA,Platform,Namco,Program-Ace,,0.05,0.03,,0.01,0,20-09-2005,
Futurama,XB,Platform,VU Games,Unique Development Studios Sweden,,0.05,0.03,,0.01,0,14-08-2003,
Collar x Malice,PSV,Action,Aksys Games,Idea Factory,,0.05,0.01,0.03,,0.01,28-07-2017,19-01-2018
Fantastic Four: Rise of the Silver Surfer,Wii,Action,2K Games,7 Studios,,0.05,0.04,,0.01,0,15-06-2007,
Devil's Third,WiiU,Action,Nintendo,Valhalla Game Studios,3.8,0.05,0.03,,0.02,0,11-12-2015,22-01-2018
Warriors All-Stars,PSV,Action,Tecmo Koei,Omega Force,,0.05,,0.05,,,30-03-2017,22-09-2018
Tom Clancy's HAWX 2,PC,Action,Ubisoft,Ubisoft Bucharest,,0.05,,,0.04,0.01,11-11-2010,
Yuki Yuna is a Hero: Memory of the Forest,PSV,Action,FuRyu Corporation,FuRyu,,0.05,,0.05,,,26-02-2015,22-09-2018
Dr. Seuss: Green Eggs and Ham,GBA,Action,NewKidCo,Handheld Games,,0.05,0.04,,0.01,0,17-11-2003,
Expendable,PS,Action,Infogrames,Rage Software,,0.05,0.03,,0.02,0,22-04-2000,
Tenchu: Dark Secret,DS,Action,Nintendo,From Software,,0.05,0.03,0.01,0,0,21-08-2006,22-04-2018
Macross ? Scramble,PSV,Action,Namco Bandai Games,ArtDink,,0.05,,0.05,,,20-10-2016,22-09-2018
Around the World in 80 Days,GBA,Action,Hip Interactive,Saffire Corporation,3.5,0.05,0.03,,0.01,0,05-07-2004,
Activision Anthology,GBA,Misc,Activision,Aspyr,8,0.05,0.03,,0.01,0,08-12-2003,
Virtua Fighter CG Portrait Series Vol.5: Wolf Hawkfield,SAT,Misc,Sega,Sega-AM2,,0.05,,0.05,,,08-12-1995,
Hisshou 777 Fighter: Pachi Slot Eiyu Densetsu,SNES,Misc,Vap,Jorudan,,0.05,,0.05,,,14-01-1994,
Guild 01,3DS,Misc,Level 5,Level 5,,0.05,,0.05,,,31-05-2012,14-04-2018
Sesame Street: Elmo's A-to-Zoo Adventure,PC,Misc,Warner Bros. Interactive,Black Lantern Studios,,0.05,0.04,,,0,20-10-2010,
Black Jack vs. Matsudajun,PS,Misc,Pony Canyon,Pony Canyon,,0.05,0.03,,0.02,0,10-08-2000,
The Bible Game,XB,Misc,Crave Entertainment,Crave Entertainment,,0.05,0.03,,0.01,0,23-10-2005,
Tabi no Yubisashi Kaiwachou DS: DS Series 1 Thai,DS,Misc,Nintendo,TOSE,,0.05,,0.05,,,20-04-2006,
Lips: Deutsche Partyknaller,X360,Misc,Microsoft Game Studios,iNiS,,0.05,,,0.04,0.01,13-11-2009,
Nazo Waku Yakata: Oto no Ma ni Ma ni,3DS,Misc,Capcom,Capcom,,0.05,,0.05,,,04-08-2011,
Kung Fu Panda: Showdown of Legendary Legends,3DS,Action,Little Orbit,Little Orbit,,0.05,,,0.04,0,01-12-2015,09-04-2018
NightCaster II: Equinox,XB,Action,Jaleco,Jaleco Entertainment,,0.05,0.03,,0.01,0,11-12-2002,
Noddy in Toyland,DS,Misc,GSP,Avanquest Software,,0.05,,,0.05,0,18-02-2011,
Kids Learn Music A+ Edition,DS,Misc,Unknown,Talking Stick Games,,0.05,0.05,,,0,04-10-2011,
Nounai Aeshe: IQ Suppli DS 2 - Sukkiri King Ketteisen,DS,Misc,Spike,Art,,0.05,,0.05,,,29-11-2007,
Mahjong 3D: Warriors of the Emperor,3DS,Misc,Unknown,Engine Software,,0.05,,,0.05,0,31-12-2020,
PachiPara 14: Fuu to Kumo to Super Umi in Okinawa,PS2,Misc,Irem Software Engineering,Irem Software Engineering,,0.05,,0.05,,,26-07-2007,
Atelier Rorona: Alchemist of Arland,PSV,Misc,NIS America,Unknown,,0.05,,0.05,,,24-06-2014,
Overcooked,PS4,Action,Sold Out,Ghost Town Games,,0.05,0.04,,,0.01,15-11-2016,28-06-2018
Ben 10 (2017),PS4,Action,Outright Games,Torus Games,,0.05,0.04,,,0.01,14-11-2017,21-01-2019
Alvin and the Chipmunks,Wii,Misc,Brash Entertainment,Sensory Sweep Studios,,0.05,0.05,,0,0,04-12-2007,
Minna to Kimi no Piramekino!,DS,Misc,Namco Bandai,Bandai Namco Games,,0.05,,0.05,,,25-11-2010,
Drivers Ed Portable,DS,Misc,DreamCatcher Interactive,DreamCatcher Interactive,,0.05,0.05,,,0,22-12-2008,
Lernerfolg Vorschule: Capt'n Sharky,DS,Misc,Tivola,Tivola,,0.05,,,0.05,0.01,23-11-2009,
Code Lyoko,DS,Action,Game Factory,DC Studios,,0.05,0.03,,0.01,0,15-05-2007,
To Love-Ru Trouble Darkness: Battle Ecstasy,PSV,Action,FuRyu Corporation,FuRyu,,0.05,,0.05,,,22-05-2014,02-04-2019
Gaist Crusher,3DS,Action,Capcom,"Treasure Co., Ltd.",,0.05,,0.05,,,05-12-2013,30-01-2019
Has-Been Heroes,XOne,Action,GameTrust,Frozenbyte,,0.05,0.04,,,0.01,28-03-2017,
Ore-Sama Kingdom: Koi no Manga mo Debut o Mokushise! Doki Doki Love Lesson,DS,Action,Bandai,Bandai Namco Games,,0.05,,0.05,,,23-11-2011,
Rimo-Cocoron,PS2,Action,Sony Computer Entertainment,Sony Computer Entertainment,,0.05,,0.05,,,28-06-2001,
The Escapists 2,NS,Action,Sold Out,Team17 Software,,0.05,0.04,,,0,30-10-2018,22-02-2019
Clever Kids: Creepy Crawlies,DS,Action,Midas Interactive Entertainment,Midas Interactive Entertainment,,0.05,,,0.04,0,23-10-2009,
Double Dragon Advance,GBA,Action,Atlus,Million,7.9,0.05,0.03,,0.01,0,14-11-2003,
Nicktoons: Attack of the Toybots,DS,Platform,THQ,Natsume,,0.05,0.04,,0,0,23-10-2007,
Disney's PK: Out of the Shadows,GC,Platform,Ubisoft,Ubisoft,4,0.05,0.04,,0.01,0,03-12-2002,
Kamiwaza,PS2,Action,Acquire,Acquire,,0.05,,0.05,,,31-08-2006,
Jim Henson's Muppets in Spy Muppets: License to Croak,GBA,Action,TDK Mediactive,TDK Mediactive,,0.05,0.04,,0.01,0,18-11-2003,
Alias,XB,Action,Acclaim Entertainment,Acclaim Studios Cheltenham,,0.05,0.04,,0.01,0,05-04-2004,
Sengoku BASARA Sanada Yukimura-den,PS4,Action,Capcom,Capcom,,0.05,,0.05,,,25-08-2016,03-06-2018
Hercules: The Legendary Journeys,N64,Action,Titus,Player 1,,0.05,0.04,,0.01,0,16-11-2000,
Dead in the Water,PS,Action,ASC Games,Player 1,,0.05,0.03,,0.02,0,28-02-1999,
Cabela's Trophy Bucks,X360,Sports,Activision,Sand Grain Studios,,0.05,0.04,,,0,19-09-2007,
Pool Party,Wii,Sports,SouthPeak Interactive,Hyper-Devbox,,0.05,0.04,,0,0,05-09-2007,
FIFA Soccer 10,PC,Sports,EA Sports,EA Canada,,0.05,,,0.04,0.01,02-10-2009,
Rapala Fishing Frenzy 2009,X360,Sports,Activision,FUN Labs,,0.05,0.04,,0,0,02-09-2008,
Gummy Bears Mini Golf,DS,Sports,Storm City Games,Beyond Reality,,0.05,0.04,,,0,15-10-2010,
Winter Sports 3: The Great Tournament,Wii,Sports,Zoo Games,49Games,,0.05,0.02,,0.02,0,14-09-2010,
Ribbit King,GC,Sports,Bandai,Bandai,,0.05,0.04,,0.01,0,08-06-2004,
Winter Sports 2011,PS3,Sports,DTP Entertainment,49Games,,0.05,,,0.04,0.01,25-02-2011,
World Fantasista,PS2,Sports,Square,SquareSoft,,0.05,,0.05,,,06-06-2002,
Rugby Challenge 3,X360,Sports,Alternative Software,Wicked Witch Software,,0.05,,,0.04,0,22-04-2016,18-04-2018
Pool Hall Pro,Wii,Sports,Playlogic Game Factory,Icon Games,,0.05,0.04,,,0,09-06-2009,
Wayne Gretzky's 3D Hockey '98,PS,Sports,Midway Games,Software Creations,,0.05,0.03,,0.02,0,26-12-1997,
Pro Evolution Soccer 2016,PC,Sports,Konami Digital Entertainment,PES Productions,,0.05,,,0.04,0,15-09-2015,14-04-2018
Dead or Alive Xtreme 3: Venus,PSV,Sports,Tecmo Koei,Team Ninja,,0.05,,0.05,,,24-03-2016,
FIFA Manager 12,PC,Sports,Electronic Arts,Bright Future GmbH,,0.05,0,,0.03,0.01,18-10-2011,
Mike Tyson Heavyweight Boxing,XB,Sports,Codemasters,Atomic Planet Entertainment,,0.05,0.03,,0.01,0,17-07-2002,
Smash Court Tennis 3,PSP,Sports,Namco Bandai,Namco Bandai Games America,,0.05,0.01,0.01,0.01,0.01,16-07-2007,
River City Soccer Hooligans,DS,Sports,Aksys Games,Arc System Works,,0.05,0.04,0.01,,0,15-06-2010,
Saint Seiya: Soldiers' Soul,PS3,Fighting,Namco Bandai Games,Namco Bandai Games,,0.05,,0.05,,,06-10-2015,
Sengoku Basara X,PS2,Fighting,Capcom,Arc System Works,,0.05,,0.05,,,26-06-2008,
Bleach: Soul Carnival,PSP,Fighting,Sony Computer Entertainment,Eighting,,0.05,,0.05,,,23-10-2008,
Rave Master,GC,Fighting,Konami,Konami,6.8,0.05,,0.05,,0,08-03-2005,
Kinnikuman Muscle Grand Prix Max,PS2,Fighting,Konami,Aki Corporation,,0.05,,0.05,,,27-07-2006,
Lucha Libre AAA: Heroes del Ring,X360,Fighting,Konami,Immersion Software & Graphics,,0.05,0.05,,,0,12-10-2010,
Fate/Unlimited Codes Portable,PSP,Fighting,Capcom,Eighting,7.6,0.05,,0.05,,,18-06-2009,
VR Soccer '96,PS,Sports,Interplay,Gremlin Interactive,,0.05,0.03,,0.02,0,31-10-1996,
ESPN Great Outdoor Games Bass 2002,GBA,Sports,Konami,Konami,5.5,0.05,0.03,,0.01,0,29-11-2001,
World Championship Pool 2004,PS2,Sports,Jaleco,Blade Interactive,,0.05,0.02,,0.02,0.01,27-04-2004,
Cabela's African Safari,PSP,Sports,Activision,"Sand Grain Studios, Magic Wand Productions, FUN Labs",,0.05,0.04,,,0,17-10-2006,
Ashes Cricket,XOne,Sports,Koch Media,Big Ant Studios,,0.05,,,0.04,0,16-11-2017,04-01-2018
SNK Heroines Tag Team Frenzy,NS,Fighting,NIS America,SNK Corporation,,0.05,0.02,0.01,0.01,0,07-09-2018,04-08-2018
Scribblenauts: Showdown,PS4,Platform,Warner Bros. Interactive,Shiver Games,,0.05,0.04,,,0.01,06-03-2018,03-04-2018
DuckTales: Remastered,PS3,Platform,Capcom,WayForward,8.6,0.05,0.01,,0.04,0.01,13-08-2013,17-02-2019
Deformers,XOne,Action,Ready at Dawn,Ready at Dawn,,0.05,0.04,,,0.01,21-04-2017,
Sengoku Basara 4: Sumeragi,PS4,Action,Capcom,Unknown,,0.05,,0.05,,,23-07-2015,
Extinction,XOne,Action,Maximum Games,Iron Galaxy,,0.05,0.04,,,0.01,10-04-2018,01-02-2018
Apex Construct,PS4,Action,Perp Games,Fast Travel Games,,0.05,0.04,,,0.01,28-08-2018,17-08-2018
Ty the Tasmanian Tiger 3: Night of the Quinkan,GBA,Action,Activision,Krome Studios,,0.05,0.04,,0.01,0,01-11-2005,
Rogue Ops,GC,Action,Kemco,Bits Studios,6.1,0.05,0.04,,0.01,0,29-10-2003,
Yaiba: Ninja Gaiden Z,X360,Misc,Tecmo Koei,Unknown,,0.05,0.03,,0.01,0,04-03-2014,
Intellivision Lives!,XB,Misc,Crave Entertainment,Realtime Associates,,0.05,0.03,,0.01,0,02-02-2004,
Bubsy: The Woolies Strike Back,PS4,Platform,Accolade,Black Forest Games,,0.05,0.04,,,0.01,31-10-2017,20-09-2018
Piglet's Big Game,GC,Platform,Gotham Games,Doki Denki,,0.05,0.04,,0.01,0,19-03-2003,
Piglet's Big Game,GBA,Platform,THQ,Doki Denki,,0.05,0.04,,0.01,0,02-02-2003,
Max & the Magic Marker,DS,Platform,Unknown,Press Play,,0.05,,,0.05,0,30-07-2011,
Over the Hedge: Hammy Goes Nuts!,PSP,Platform,Activision,Amaze Entertainment,,0.05,0.05,,,0,21-11-2006,
Blues Brothers 2000,N64,Platform,Titus,Player 1,4.9,0.05,0.04,,0.01,0,16-11-2000,
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,GC,Platform,Global Star Software,High Voltage Software,,0.05,0.04,,0.01,0,16-10-2005,
Stretch Panic,PS2,Platform,Conspiracy Entertainment,"Treasure Co., Ltd.",,0.05,0.02,,0.02,0.01,28-08-2001,
George of The Jungle and the Search for the Secret,DS,Platform,Crave Entertainment,Crave Entertainment,,0.05,0.05,,0,0,11-03-2008,
Woody Woodpecker: Escape from Buzz Buzzard Park,PS2,Platform,DreamCatcher Interactive,EKO System,,0.05,0.02,,0.02,0.01,19-02-2002,
Toki Collector's Edition,NS,Platform,Microids,Golgoth Studio,,0.05,0.04,,,0.01,22-11-2018,22-02-2019
Yu-Gi-Oh! GX: Spirit Caller (Japan Sales),DS,Misc,Konami,Konami,,0.05,,0.05,,,02-01-2007,
Punch King,GBA,Fighting,Acclaim Entertainment,Full Fat,,0.05,0.03,,0.01,0,15-05-2002,
Kakuto Chojin,XB,Fighting,Microsoft Game Studios,DreamFactory,,0.05,0.04,,0.01,0,11-11-2002,
Arcana Heart 3,X360,Fighting,PQube,Examu Inc.,,0.05,,0.02,0.02,0,19-08-2011,
Guilty Gear Dust Strikers,DS,Fighting,Majesco,Arc System Works,,0.05,0.05,,,0,25-04-2006,
Hokuto no Ken,PS2,Fighting,Sega,Arc System Works,,0.05,,0.05,,,29-03-2007,
TNA iMPACT: Cross the Line,DS,Fighting,SouthPeak Interactive,Point of View,,0.05,0.04,,,0,22-06-2010,
Capcom vs. SNK: Millennium Fight 2000 Pro,DC,Fighting,Capcom,Capcom,6.9,0.05,,0.05,,0,14-06-2001,
Golden Axe: The Duel,SAT,Fighting,Sega,Sega,,0.05,,0.05,,0,01-01-1995,
TNA iMPACT: Cross the Line,PSP,Fighting,SouthPeak Interactive,Point of View,3.5,0.05,0.05,,0,0,22-06-2010,
TV Anime: Fairy Tale Gekitou! Madoushi Kessen,DS,Fighting,Hudson Soft,Hudson Soft,,0.05,,0.05,,,22-07-2010,
Black & Bruised,GC,Fighting,Majesco,Digital Fiction,,0.05,0.04,,0.01,0,26-01-2003,
Garou Densetsu 3: Road to the Final Victory,SAT,Fighting,SNK,SNK Corporation,,0.05,,0.05,,0,28-06-1996,
My Body Coach,Wii,Sports,Big Ben Interactive,Neko Entertainment,,0.05,,,0.04,0,20-11-2009,
My Hero Academia: Battle for All,3DS,Fighting,Namco Bandai Games,Bandai Namco Games,,0.05,,0.05,,,19-05-2016,26-04-2018
Gakusen Toshi Asterisk Festa: Houka Kenran,PSV,Fighting,Namco Bandai Games,Bandai Namco Games,,0.05,,0.05,,,28-01-2016,22-09-2018
Mortal Kombat X,PC,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios,,0.05,0.01,,0.04,0,14-04-2015,04-01-2018
Kamen Rider: Dragon Knight,DS,Fighting,D3 Publisher,Natsume,,0.05,0.05,,0,0,17-11-2009,
Nitroplus Blasterz: Heroines Infinite Duel,PS4,Fighting,Xseed Games,Examu Inc.,,0.05,0.01,0.03,0.01,0,02-02-2016,
Katekyoo Hitman Reborn! DS: Shinuki Max! Vongola Carnival!!,DS,Action,Takara Tomy,Takara Tomy,,0.05,,0.05,,,29-03-2007,
Fatal Fury: Wild Ambition,PS,Fighting,SNK,SNK Corporation,,0.05,0.03,,0.02,0,11-12-1999,
Kamen Rider: Climax Heroes Fourze,PSP,Fighting,Bandai,Eighting,,0.05,,0.05,,,01-12-2011,
Bleach: Blade Battlers,PS2,Fighting,Sony Computer Entertainment,Racjin,,0.05,,0.05,,,12-10-2006,
Samurai Deeper Kyo,PS,Fighting,Bandai,Bandai,,0.05,,0.05,,0,12-12-2002,
Dual Heroes,N64,Fighting,Electro Brain,Produce!,,0.05,0.04,,0.01,0,31-10-1998,
Fighter Destiny 2,N64,Fighting,SouthPeak Interactive,Opus Studio,,0.05,0.04,,0.01,0,14-07-2000,
Keroro Gunsou: Enshuu da Yo! Zenin Shuugou Part 2,DS,Action,Namco Bandai,Bandai Namco Games,,0.05,,0.05,,,22-02-2007,
Magic Carpet,PS,Shooter,Electronic Arts,Bullfrog Productions,,0.05,0.03,,0.02,0,01-01-1996,
Time Crisis: Project Titan,PS,Shooter,Namco,Flying Tiger Entertainment,,0.05,0.03,,0.02,0,20-06-2001,
Centipede: Infestation,3DS,Shooter,Atari,WayForward Technologies,,0.05,0.04,,,0,25-10-2011,
Tom Clancy's Rainbow Six: Lockdown,GC,Shooter,Ubisoft,Red Storm Entertainment,,0.05,0.04,,0.01,0,27-09-2005,
Turok: Dinosaur Hunter,N64,Shooter,Acclaim Entertainment,Iguana Entertainment,,0.05,,0.05,,,28-02-1997,
Rock of the Dead,X360,Shooter,Conspiracy Entertainment,Epicenter Studios,5,0.05,0.04,,,0,19-10-2010,
Yager,XB,Shooter,Kemco,Yager Development,,0.05,0.03,,0.01,0,05-10-2004,
Trigger Man,XB,Shooter,Crave Entertainment,Point of View,,0.05,0.03,,0.01,0,05-10-2004,
Bad Boys: Miami Takedown,GC,Shooter,Crave Entertainment,Blitz Games,4.3,0.05,0.03,,0.01,0,14-09-2004,
Thunder Force V: Perfect System,PS,Shooter,Working Designs,"TechnoSoft Co., Ltd.",,0.05,0.03,,0.02,0,31-08-1998,
The Typing of the Dead,DC,Shooter,Sega,Smilebit,8.6,0.05,,0.05,,,23-01-2001,
Centipede: Infestation,Wii,Shooter,Atari,WayForward Technologies,,0.05,0.05,,,0,25-10-2011,
Judge Dredd,PS,Shooter,Activision,Gremlin Interactive,,0.05,0.03,,0.02,0,31-03-1998,
The Bureau: XCOM Declassified,PC,Shooter,2K Games,2K Marin,,0.05,,,0.05,0,20-08-2013,24-10-2018
Wicked Monster Blast!,Wii,Shooter,Valcon Games,"Corecell Technology Co.,Ltd.",,0.05,0.04,,0,0,28-06-2011,
Houkago Shounen,DS,Misc,Konami,Konami,,0.05,,0.05,,,31-01-2008,
Pinball Tycoon,GBA,Misc,AIA,Ignition Entertainment,,0.05,0.03,,0.01,0,02-01-2003,
Taiko no Tatsujin Portable 2,PSP,Misc,Namco Bandai,Namco Bandai Games,,0.05,,0.05,,,07-09-2006,
BlowOut,XB,Shooter,Majesco,Terminal Reality,,0.05,0.04,,0.01,0,26-11-2003,
Rez,PS2,Shooter,Sega,United Game Artists,9,0.05,0.03,,0.02,0.01,07-01-2002,
Medal of Honor: Airborne,PC,Shooter,Electronic Arts,EA Los Angeles,,0.05,0,,0.04,0.01,04-09-2007,
Payday 2,PC,Shooter,505 Games,Overkill Software,,0.05,0.04,,,0.01,13-08-2013,08-01-2018
SD Gundam: Over Galaxian,PS,Shooter,Bandai,Bandai,,0.05,,0.05,,0,28-06-1996,
Rock of the Dead,PS3,Shooter,Conspiracy Entertainment,Epicenter Studios,,0.05,0.04,,,0.01,19-10-2010,
Alter Echo,XB,Shooter,THQ,Outrage Games,,0.05,0.04,,0.01,0,19-08-2003,
MorphX,X360,Shooter,505 Games,Buka Entertainment,,0.05,0.05,,0,0,28-09-2010,
Metal Slug Anthology,PSP,Shooter,SNK Playmore,Terminal Reality,,0.05,0.02,0.02,0,0.01,20-02-2007,
Nanostray 2,DS,Shooter,Majesco,Shin'en GmbH,,0.05,0.03,,0.01,0,11-03-2008,
DoDonPachi Resurrection,X360,Shooter,Rising Star,Cave,,0.05,,,0.04,0.01,04-11-2011,
Singularity,PC,Shooter,Activision,Raven Software,7.5,0.05,,,0.04,0.01,29-06-2010,
Robotech: Invasion,XB,Shooter,Global Star Software,Vicious Cycle,,0.05,0.04,,0.01,0,05-10-2004,
Moon,DS,Shooter,Mastiff,Renegade Kid,6.7,0.05,0.04,,0,0,13-01-2009,
Raze's Hell,XB,Shooter,Majesco,Artech Studios,,0.05,0.04,,0.01,0,21-04-2005,
Philosoma,PS,Shooter,Sony Computer Entertainment,G Artist,5,0.05,0.03,,0.02,0,26-02-1996,
Medal of Honor: European Assault (weekly JP sales),PS2,Shooter,Electronic Arts,Electronic Arts,,0.05,,0.05,,,07-06-2005,
